id,inicial,final,latitud,longitud,altura,iri
1,19000,19100,16.74099,-99.74894,4.2,2.556
2,19100,19200,16.74052,-99.74814,4.2,3.855
3,19200,19300,16.74006,-99.74735,4.1,3.74
4,19300,19400,16.73959,-99.74656,4.0,4.013
5,19400,19500,16.73916,-99.74574,4.0,3.889
6,19500,19600,16.73869,-99.74495,4.0,3.925
7,19600,19700,16.73825,-99.74413,3.8,3.652
8,19700,19800,16.73778,-99.74332,3.8,3.763
9,19800,19900,16.73731,-99.74252,3.8,2.244
10,19900,20000,16.73686,-99.74172,3.7,2.259
11,20000,20100,16.73641,-99.74090,3.8,2.824
12,20100,20200,16.73594,-99.74011,3.9,2.769
13,20200,20300,16.73550,-99.73930,4.0,2.874
14,20300,20400,16.73505,-99.73849,4.6,2.617
15,20400,20500,16.73459,-99.73768,5.1,2.513
16,20500,20600,16.73413,-99.73687,5.6,2.139
17,20600,20700,16.73368,-99.73606,5.6,2.305
18,20700,20800,16.73334,-99.73518,4.8,2.805
19,20800,20900,16.73319,-99.73426,4.4,2.745
20,20900,21000,16.73330,-99.73332,3.7,3.453
,,,,,,
